"Name","BD","Pos","Team","GP","EVG","EVA","EVPTS","EVPTS/G","EVPTS%"
"Adam Dewan",1979-10-18,"LW","Peterborough Petes",4,0,1,1,0.25,100
"Adam Lewis",1978-02-03,"LW","Kitchener Rangers",6,0,1,1,0.17,100
"Allan Rourke",1980-03-06,"D","Kitchener Rangers",6,0,1,1,0.17,50
"Andrew Peters",1980-05-05,"LW","Oshawa Generals",7,1,0,1,0.14,50
"B.J. Ketcheson",1980-01-29,"D","Peterborough Petes",4,0,1,1,0.25,100
"Brad Ralph",1980-10-17,"C","Oshawa Generals",7,1,0,1,0.14,33
"Branislav Mezei",1980-08-10,"D","Belleville Bulls",8,0,1,1,0.12,50
"Casey Wolak",1978-03-26,"RW","Owen Sound Platers",11,0,1,1,0.09,100
"Chad Cavanagh",1978-02-13,"C","Sarnia Sting",5,1,0,1,0.2,100
"Chester Gallant",1977-12-22,"RW","Oshawa Generals",7,1,0,1,0.14,100
"Chris Allen",1978-05-08,"D","Kingston Frontenacs",10,1,0,1,0.1,17
"D.J. Maracle",1980-05-14,"RW","Kingston Frontenacs",10,0,1,1,0.1,100
"Dan Watson",1979-10-05,"D","Sarnia Sting",5,0,1,1,0.2,100
"Darren Mortier",1978-05-04,"C","Kitchener Rangers",6,0,1,1,0.17,50
"Darryl Knight",1979-04-14,"C","Sarnia Sting",5,0,1,1,0.2,25
"David Cornacchia",1980-11-13,"D","Sudbury Wolves",8,0,1,1,0.12,50
"Drew Bucktooth",1981-02-03,"RW","Oshawa Generals",5,0,1,1,0.2,100
"Greg Willers",1979-08-08,"D","Sarnia Sting",5,0,1,1,0.2,33
"Ilya Demidov",1979-04-14,"D","Oshawa Generals",7,0,1,1,0.14,100
"Jason Baird",1980-09-16,"LW","Erie Otters",7,1,0,1,0.14,100
"Jason Maleyko",1980-05-24,"D","Oshawa Generals",7,0,1,1,0.14,100
"Jeff MacMillan",1979-03-30,"D","Oshawa Generals",7,0,1,1,0.14,33
"Jesse Black",1978-06-23,"D","Erie Otters",7,1,0,1,0.14,100
"Jim Moss",1977-03-03,"LW","London Knights",15,0,1,1,0.07,100
"Kevin Grimes",1979-08-19,"D","Kingston Frontenacs",12,0,1,1,0.08,100
"Kyle Flaxey",1979-01-24,"D","Owen Sound Platers",9,1,0,1,0.11,100
"Kyle McAllister",1981-04-07,"C","Ottawa 67's",10,0,1,1,0.1,100
"Lucas Nehrling",1979-08-14,"D","Kingston Frontenacs",12,0,1,1,0.08,100
"Marek Posmyk",1978-09-15,"D","Sarnia Sting",5,0,1,1,0.2,50
"Mike DePetrillo",1979-02-28,"LW","London Knights",14,0,1,1,0.07,100
"Mike Mazzuca",1979-07-01,"LW","London Knights",16,1,0,1,0.06,100
"Nick Robinson",1979-10-10,"D","Kitchener Rangers",6,0,1,1,0.17,100
"Norm Milley",1980-02-14,"RW","Sudbury Wolves",10,0,1,1,0.1,100
